Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      152.0,      16.85,    21.16,    17.93,    11.52,    16.79
      153.0,      16.77,    21.07,    17.85,    11.47,    16.71
      154.0,      16.70,    20.98,    17.76,    11.42,    16.63
      155.0,      16.62,    20.90,    17.68,    11.37,    16.55
      156.0,      16.55,    20.81,    17.59,    11.32,    16.47
      157.0,      16.47,    20.73,    17.51,    11.27,    16.39
      158.0,      16.40,    20.64,    17.42,    11.23,    16.31
      159.0,      16.33,    20.55,    17.34,    11.18,    16.24
      160.0,      16.25,    20.47,    17.25,    11.13,    16.16
      161.0,      16.18,    20.39,    17.17,    11.08,    16.08
      162.0,      16.11,    20.30,    17.09,    11.03,    16.01
      163.0,      16.04,    20.22,    17.01,    10.98,    15.93
      164.0,      15.96,    20.14,    16.93,    10.94,    15.85
      165.0,      15.89,    20.05,    16.85,    10.89,    15.78
      166.0,      15.82,    19.97,    16.77,    10.84,    15.70
      167.0,      15.75,    19.89,    16.69,    10.79,    15.63
      168.0,      15.68,    19.81,    16.61,    10.75,    15.56
      169.0,      15.61,    19.72,    16.53,    10.70,    15.48
      170.0,      15.54,    19.64,    16.45,    10.66,    15.41
      171.0,      15.47,    19.56,    16.37,    10.61,    15.34
      172.0,      15.40,    19.48,    16.29,    10.56,    15.26
      173.0,      15.33,    19.40,    16.22,    10.52,    15.19
      174.0,      15.26,    19.32,    16.14,    10.47,    15.12
      175.0,      15.19,    19.24,    16.06,    10.43,    15.05
      176.0,      15.13,    19.16,    15.99,    10.38,    14.98
      177.0,      15.06,    19.08,    15.91,    10.34,    14.91
      178.0,      14.99,    19.01,    15.83,    10.29,    14.84
      179.0,      14.93,    18.93,    15.76,    10.25,    14.77
      180.0,      14.86,    18.85,    15.68,    10.20,    14.70
      181.0,      14.79,    18.77,    15.61,    10.16,    14.63
      182.0,      14.73,    18.69,    15.54,    10.12,    14.56
      183.0,      14.66,    18.62,    15.46,    10.07,    14.49
      184.0,      14.60,    18.54,    15.39,    10.03,    14.42
      185.0,      14.53,    18.46,    15.32,     9.99,    14.36
      186.0,      14.47,    18.39,    15.25,     9.94,    14.29
      187.0,      14.40,    18.31,    15.17,     9.90,    14.22
      188.0,      14.34,    18.24,    15.10,     9.86,    14.16
      189.0,      14.27,    18.16,    15.03,     9.81,    14.09
      190.0,      14.21,    18.09,    14.96,     9.77,    14.02
      191.0,      14.15,    18.01,    14.89,     9.73,    13.96
      192.0,      14.09,    17.94,    14.82,     9.69,    13.89
      193.0,      14.02,    17.87,    14.75,     9.65,    13.83
      194.0,      13.96,    17.79,    14.68,     9.61,    13.76
      195.0,      13.90,    17.72,    14.61,     9.56,    13.70
      196.0,      13.84,    17.65,    14.54,     9.52,    13.64
      197.0,      13.78,    17.57,    14.47,     9.48,    13.57
      198.0,      13.71,    17.50,    14.41,     9.44,    13.51
      199.0,      13.65,    17.43,    14.34,     9.40,    13.45
      200.0,      13.59,    17.36,    14.27,     9.36,    13.38
      201.0,      13.53,    17.29,    14.20,     9.32,    13.32
      202.0,      13.47,    17.21,    14.14,     9.28,    13.26
      203.0,      13.41,    17.14,    14.07,     9.24,    13.20
      204.0,      13.35,    17.07,    14.01,     9.20,    13.14
      205.0,      13.29,    17.00,    13.94,     9.16,    13.08
      206.0,      13.24,    16.93,    13.87,     9.12,    13.02
      207.0,      13.18,    16.86,    13.81,     9.08,    12.96
      208.0,      13.12,    16.79,    13.75,     9.04,    12.90
