Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      237.0,      14.62,    19.86,    13.49,    15.30,     9.81
      238.0,      14.59,    19.82,    13.47,    15.28,     9.77
      239.0,      14.55,    19.78,    13.45,    15.27,     9.73
      240.0,      14.52,    19.74,    13.43,    15.25,     9.68
      241.0,      14.49,    19.69,    13.41,    15.23,     9.64
      242.0,      14.46,    19.65,    13.39,    15.21,     9.60
      243.0,      14.43,    19.61,    13.37,    15.19,     9.56
      244.0,      14.40,    19.57,    13.36,    15.17,     9.51
      245.0,      14.37,    19.53,    13.34,    15.15,     9.47
      246.0,      14.34,    19.49,    13.32,    15.13,     9.43
      247.0,      14.31,    19.45,    13.30,    15.12,     9.39
      248.0,      14.28,    19.40,    13.28,    15.10,     9.35
      249.0,      14.25,    19.36,    13.27,    15.08,     9.31
      250.0,      14.22,    19.32,    13.25,    15.06,     9.26
      251.0,      14.19,    19.28,    13.23,    15.04,     9.22
      252.0,      14.16,    19.24,    13.21,    15.02,     9.18
      253.0,      14.14,    19.20,    13.20,    15.00,     9.14
      254.0,      14.11,    19.16,    13.18,    14.99,     9.10
      255.0,      14.08,    19.12,    13.16,    14.97,     9.06
      256.0,      14.05,    19.08,    13.14,    14.95,     9.02
      257.0,      14.02,    19.04,    13.13,    14.93,     8.98
      258.0,      13.99,    19.00,    13.11,    14.91,     8.94
      259.0,      13.96,    18.96,    13.09,    14.90,     8.90
      260.0,      13.93,    18.92,    13.08,    14.88,     8.86
      261.0,      13.91,    18.88,    13.06,    14.86,     8.82
      262.0,      13.88,    18.84,    13.04,    14.84,     8.79
      263.0,      13.85,    18.80,    13.03,    14.82,     8.75
      264.0,      13.82,    18.76,    13.01,    14.81,     8.71
      265.0,      13.79,    18.72,    13.00,    14.79,     8.67
      266.0,      13.76,    18.68,    12.98,    14.77,     8.63
      267.0,      13.74,    18.64,    12.96,    14.75,     8.59
      268.0,      13.71,    18.60,    12.95,    14.73,     8.55
      269.0,      13.68,    18.56,    12.93,    14.72,     8.52
      270.0,      13.65,    18.52,    12.92,    14.70,     8.48
      271.0,      13.63,    18.48,    12.90,    14.68,     8.44
      272.0,      13.60,    18.44,    12.89,    14.66,     8.40
