Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      167.0,      20.96,    21.22,    18.07,    21.51,    23.01
      168.0,      20.87,    21.16,    17.99,    21.43,    22.91
      169.0,      20.79,    21.10,    17.91,    21.34,    22.81
      170.0,      20.71,    21.03,    17.82,    21.25,    22.72
      171.0,      20.63,    20.97,    17.74,    21.17,    22.62
      172.0,      20.55,    20.91,    17.66,    21.08,    22.52
      173.0,      20.47,    20.85,    17.58,    21.00,    22.43
      174.0,      20.39,    20.79,    17.51,    20.91,    22.34
      175.0,      20.31,    20.74,    17.43,    20.83,    22.25
      176.0,      20.23,    20.68,    17.35,    20.75,    22.15
      177.0,      20.16,    20.62,    17.28,    20.66,    22.06
      178.0,      20.08,    20.57,    17.20,    20.58,    21.98
      179.0,      20.01,    20.51,    17.13,    20.50,    21.89
      180.0,      19.93,    20.46,    17.05,    20.42,    21.80
      181.0,      19.86,    20.41,    16.98,    20.34,    21.72
      182.0,      19.79,    20.36,    16.91,    20.26,    21.63
      183.0,      19.72,    20.30,    16.83,    20.18,    21.55
      184.0,      19.65,    20.25,    16.76,    20.10,    21.47
      185.0,      19.58,    20.20,    16.69,    20.02,    21.38
      186.0,      19.51,    20.15,    16.62,    19.94,    21.30
      187.0,      19.44,    20.11,    16.56,    19.86,    21.22
      188.0,      19.37,    20.06,    16.49,    19.79,    21.14
      189.0,      19.30,    20.01,    16.42,    19.71,    21.07
      190.0,      19.24,    19.96,    16.35,    19.63,    20.99
      191.0,      19.17,    19.92,    16.29,    19.56,    20.91
      192.0,      19.10,    19.87,    16.22,    19.48,    20.84
      193.0,      19.04,    19.83,    16.16,    19.41,    20.76
      194.0,      18.97,    19.78,    16.09,    19.33,    20.69
      195.0,      18.91,    19.74,    16.03,    19.26,    20.62
      196.0,      18.85,    19.70,    15.96,    19.19,    20.55
      197.0,      18.79,    19.65,    15.90,    19.11,    20.47
      198.0,      18.72,    19.61,    15.84,    19.04,    20.40
      199.0,      18.66,    19.57,    15.78,    18.97,    20.33
      200.0,      18.60,    19.53,    15.72,    18.89,    20.27
      201.0,      18.54,    19.49,    15.66,    18.82,    20.20
      202.0,      18.48,    19.45,    15.60,    18.75,    20.13
      203.0,      18.42,    19.41,    15.54,    18.68,    20.06
      204.0,      18.36,    19.37,    15.48,    18.61,    20.00
      205.0,      18.31,    19.33,    15.42,    18.54,    19.93
      206.0,      18.25,    19.29,    15.36,    18.47,    19.87
      207.0,      18.19,    19.26,    15.30,    18.40,    19.81
      208.0,      18.14,    19.22,    15.25,    18.33,    19.74
      209.0,      18.08,    19.18,    15.19,    18.26,    19.68
      210.0,      18.02,    19.15,    15.14,    18.20,    19.62
      211.0,      17.97,    19.11,    15.08,    18.13,    19.56
      212.0,      17.91,    19.07,    15.02,    18.06,    19.50
      213.0,      17.86,    19.04,    14.97,    17.99,    19.44
      214.0,      17.81,    19.00,    14.92,    17.93,    19.38
      215.0,      17.75,    18.97,    14.86,    17.86,    19.32
      216.0,      17.70,    18.94,    14.81,    17.80,    19.26
      217.0,      17.65,    18.90,    14.76,    17.73,    19.21
      218.0,      17.60,    18.87,    14.70,    17.67,    19.15
      219.0,      17.55,    18.84,    14.65,    17.60,    19.09
      220.0,      17.50,    18.80,    14.60,    17.54,    19.04
      221.0,      17.44,    18.77,    14.55,    17.47,    18.98
      222.0,      17.39,    18.74,    14.50,    17.41,    18.93
      223.0,      17.35,    18.71,    14.45,    17.35,    18.88
      224.0,      17.30,    18.68,    14.40,    17.28,    18.82
      225.0,      17.25,    18.65,    14.35,    17.22,    18.77
      226.0,      17.20,    18.61,    14.30,    17.16,    18.72
      227.0,      17.15,    18.58,    14.25,    17.10,    18.67
      228.0,      17.10,    18.55,    14.20,    17.04,    18.62
      229.0,      17.06,    18.52,    14.16,    16.98,    18.57
      230.0,      17.01,    18.49,    14.11,    16.92,    18.52
      231.0,      16.96,    18.47,    14.06,    16.86,    18.47
      232.0,      16.92,    18.44,    14.01,    16.80,    18.42
      233.0,      16.87,    18.41,    13.97,    16.74,    18.37
      234.0,      16.82,    18.38,    13.92,    16.68,    18.32
      235.0,      16.78,    18.35,    13.88,    16.62,    18.27
      236.0,      16.73,    18.32,    13.83,    16.56,    18.23
      237.0,      16.69,    18.29,    13.79,    16.50,    18.18
      238.0,      16.65,    18.27,    13.74,    16.44,    18.13
