Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      182.0,       9.22,    15.15,     4.81,     6.04,    10.90
      183.0,       9.20,    15.09,     4.79,     6.03,    10.89
      184.0,       9.18,    15.02,     4.78,     6.03,    10.88
      185.0,       9.15,    14.96,     4.76,     6.02,    10.86
      186.0,       9.13,    14.90,     4.74,     6.01,    10.85
      187.0,       9.10,    14.84,     4.73,     6.00,    10.84
      188.0,       9.08,    14.78,     4.71,     6.00,    10.83
      189.0,       9.05,    14.72,     4.70,     5.99,    10.81
      190.0,       9.03,    14.66,     4.68,     5.98,    10.80
      191.0,       9.01,    14.60,     4.67,     5.98,    10.79
      192.0,       8.98,    14.54,     4.65,     5.97,    10.77
      193.0,       8.96,    14.48,     4.63,     5.96,    10.76
      194.0,       8.94,    14.42,     4.62,     5.96,    10.75
      195.0,       8.91,    14.37,     4.60,     5.95,    10.74
      196.0,       8.89,    14.31,     4.59,     5.94,    10.73
      197.0,       8.87,    14.25,     4.57,     5.93,    10.71
      198.0,       8.84,    14.19,     4.56,     5.93,    10.70
      199.0,       8.82,    14.13,     4.54,     5.92,    10.69
      200.0,       8.80,    14.08,     4.53,     5.91,    10.68
      201.0,       8.78,    14.02,     4.51,     5.91,    10.66
      202.0,       8.75,    13.96,     4.50,     5.90,    10.65
      203.0,       8.73,    13.91,     4.48,     5.89,    10.64
      204.0,       8.71,    13.85,     4.47,     5.89,    10.63
      205.0,       8.69,    13.79,     4.45,     5.88,    10.62
      206.0,       8.66,    13.74,     4.44,     5.87,    10.60
      207.0,       8.64,    13.68,     4.42,     5.87,    10.59
      208.0,       8.62,    13.63,     4.41,     5.86,    10.58
      209.0,       8.60,    13.57,     4.39,     5.85,    10.57
      210.0,       8.58,    13.52,     4.38,     5.85,    10.56
      211.0,       8.55,    13.46,     4.37,     5.84,    10.54
      212.0,       8.53,    13.41,     4.35,     5.84,    10.53
      213.0,       8.51,    13.35,     4.34,     5.83,    10.52
      214.0,       8.49,    13.30,     4.32,     5.82,    10.51
      215.0,       8.47,    13.25,     4.31,     5.82,    10.50
      216.0,       8.45,    13.19,     4.29,     5.81,    10.48
      217.0,       8.42,    13.14,     4.28,     5.80,    10.47
      218.0,       8.40,    13.09,     4.27,     5.80,    10.46
      219.0,       8.38,    13.03,     4.25,     5.79,    10.45
      220.0,       8.36,    12.98,     4.24,     5.78,    10.44
      221.0,       8.34,    12.93,     4.23,     5.78,    10.43
      222.0,       8.32,    12.88,     4.21,     5.77,    10.41
      223.0,       8.30,    12.82,     4.20,     5.76,    10.40
      224.0,       8.28,    12.77,     4.18,     5.76,    10.39
      225.0,       8.26,    12.72,     4.17,     5.75,    10.38
      226.0,       8.23,    12.67,     4.16,     5.75,    10.37
      227.0,       8.21,    12.62,     4.14,     5.74,    10.36
      228.0,       8.19,    12.57,     4.13,     5.73,    10.34
      229.0,       8.17,    12.52,     4.12,     5.73,    10.33
      230.0,       8.15,    12.47,     4.10,     5.72,    10.32
      231.0,       8.13,    12.42,     4.09,     5.71,    10.31
      232.0,       8.11,    12.37,     4.08,     5.71,    10.30
      233.0,       8.09,    12.32,     4.06,     5.70,    10.29
      234.0,       8.07,    12.27,     4.05,     5.70,    10.28
      235.0,       8.05,    12.22,     4.04,     5.69,    10.26
      236.0,       8.03,    12.17,     4.02,     5.68,    10.25
      237.0,       8.01,    12.12,     4.01,     5.68,    10.24
      238.0,       7.99,    12.07,     4.00,     5.67,    10.23
      239.0,       7.97,    12.02,     3.98,     5.66,    10.22
      240.0,       7.95,    11.98,     3.97,     5.66,    10.21
      241.0,       7.93,    11.93,     3.96,     5.65,    10.20
      242.0,       7.91,    11.88,     3.95,     5.65,    10.18
      243.0,       7.89,    11.83,     3.93,     5.64,    10.17
      244.0,       7.87,    11.78,     3.92,     5.63,    10.16
      245.0,       7.86,    11.74,     3.91,     5.63,    10.15
      246.0,       7.84,    11.69,     3.89,     5.62,    10.14
      247.0,       7.82,    11.64,     3.88,     5.62,    10.13
      248.0,       7.80,    11.60,     3.87,     5.61,    10.12
      249.0,       7.78,    11.55,     3.86,     5.60,    10.11
      250.0,       7.76,    11.50,     3.84,     5.60,    10.10
      251.0,       7.74,    11.46,     3.83,     5.59,    10.08
      252.0,       7.72,    11.41,     3.82,     5.58,    10.07
      253.0,       7.70,    11.37,     3.81,     5.58,    10.06
      254.0,       7.68,    11.32,     3.79,     5.57,    10.05
      255.0,       7.67,    11.28,     3.78,     5.57,    10.04
      256.0,       7.65,    11.23,     3.77,     5.56,    10.03
      257.0,       7.63,    11.19,     3.76,     5.55,    10.02
      258.0,       7.61,    11.14,     3.74,     5.55,    10.01
      259.0,       7.59,    11.10,     3.73,     5.54,    10.00
      260.0,       7.57,    11.05,     3.72,     5.54,     9.98
      261.0,       7.56,    11.01,     3.71,     5.53,     9.97
      262.0,       7.54,    10.96,     3.70,     5.52,     9.96
      263.0,       7.52,    10.92,     3.68,     5.52,     9.95
      264.0,       7.50,    10.88,     3.67,     5.51,     9.94
      265.0,       7.48,    10.83,     3.66,     5.51,     9.93
      266.0,       7.46,    10.79,     3.65,     5.50,     9.92
      267.0,       7.45,    10.75,     3.64,     5.50,     9.91
      268.0,       7.43,    10.70,     3.63,     5.49,     9.90
      269.0,       7.41,    10.66,     3.61,     5.48,     9.89
      270.0,       7.39,    10.62,     3.60,     5.48,     9.87
      271.0,       7.38,    10.58,     3.59,     5.47,     9.86
      272.0,       7.36,    10.53,     3.58,     5.47,     9.85
      273.0,       7.34,    10.49,     3.57,     5.46,     9.84
      274.0,       7.32,    10.45,     3.56,     5.45,     9.83
      275.0,       7.31,    10.41,     3.54,     5.45,     9.82
      276.0,       7.29,    10.37,     3.53,     5.44,     9.81
      277.0,       7.27,    10.33,     3.52,     5.44,     9.80
      278.0,       7.25,    10.28,     3.51,     5.43,     9.79
      279.0,       7.24,    10.24,     3.50,     5.42,     9.78
