Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      383.0,      10.97,    11.46,     9.65,     8.40,    14.36
      384.0,      10.96,    11.45,     9.64,     8.39,    14.35
      385.0,      10.94,    11.43,     9.63,     8.38,    14.33
      386.0,      10.93,    11.42,     9.62,     8.38,    14.32
      387.0,      10.92,    11.41,     9.61,     8.37,    14.31
      388.0,      10.91,    11.39,     9.60,     8.36,    14.29
      389.0,      10.90,    11.38,     9.59,     8.35,    14.28
      390.0,      10.89,    11.37,     9.58,     8.34,    14.26
      391.0,      10.88,    11.35,     9.57,     8.33,    14.25
      392.0,      10.86,    11.34,     9.56,     8.33,    14.23
      393.0,      10.85,    11.33,     9.55,     8.32,    14.22
      394.0,      10.84,    11.31,     9.54,     8.31,    14.21
      395.0,      10.83,    11.30,     9.53,     8.30,    14.19
      396.0,      10.82,    11.29,     9.52,     8.29,    14.18
      397.0,      10.81,    11.28,     9.51,     8.28,    14.16
      398.0,      10.80,    11.26,     9.50,     8.28,    14.15
      399.0,      10.79,    11.25,     9.49,     8.27,    14.14
      400.0,      10.78,    11.24,     9.48,     8.26,    14.12
